,Asteroid Name,First Burn (m/s),Second Burn (m/s),Total Burn (m/s),Total TOF (days),Burn Method
0,101955 Bennu (1999 RQ36),-820.7822357447949,2212.0543692291467,3032.8366049739416,168.68954120833783,Periapsis_Match_First
1,152563 (1992 BF),-3210.4486936433386,1116.8559806809717,4327.30467432431,138.24550950955833,Periapsis_Match_First
2,10302 (1989 ML),692.2867350443557,2554.3255744853923,3246.612309529748,196.3121000991887,Periapsis_Match_First
3,7474 (1992 TC),753.5362085781708,4604.77836274388,5358.314571322051,197.62103234587298,Periapsis_Match_First
4,98943 (2001 CC21),-1644.6201744427672,1719.4407357308592,3364.0609101736263,156.71857381078357,Periapsis_Match_First
5,162173 Ryugu (1999 JU3),-279.6328741437246,2478.516632515515,2758.1495066592397,177.62583331822367,Periapsis_Match_First
6,65679 (1989 UQ),-3070.7680827104523,1132.2569845956023,4203.025067306055,139.70334649748668,Periapsis_Match_First
7,1943 Anteros (1973 EC),460.03702852451534,3938.1346177627966,4398.171646287312,191.50043436278557,Periapsis_Match_First
