,Asteroid Name,First Burn (m/s),Second Burn (m/s),Total Burn (m/s),Total TOF (days),Burn Method
0,101955 Bennu (1999 RQ36),2170.591763293036,-742.9781324697142,2913.56989576275,233.48302504323829,Apoapsis_Match_First
1,152563 (1992 BF),1051.0663216562898,-3050.903311531154,4101.969633187444,204.23123848054917,Apoapsis_Match_First
2,10302 (1989 ML),2602.8582824996156,619.4386282650194,3222.296910764635,247.04106619719187,Apoapsis_Match_First
3,7474 (1992 TC),4673.534505535677,584.3080536615125,5257.84255919719,339.40382006393855,Apoapsis_Match_First
4,98943 (2001 CC21),1658.4477814844904,-1523.30300489832,3181.7507863828105,219.15845706830146,Apoapsis_Match_First
5,162173 Ryugu (1999 JU3),2461.9513757641544,-250.02521012561192,2711.9765858897663,242.46001353700396,Apoapsis_Match_First
6,65679 (1989 UQ),1067.1246560798936,-2917.0436432060415,3984.168299285935,204.60034191051685,Apoapsis_Match_First
7,1943 Anteros (1973 EC),3976.7525481189186,375.40883393630065,4352.161382055219,301.98254520392425,Apoapsis_Match_First
